REAL TIME DATE OF LOGFILE: 08.03.2022 18:03:43
[DAY: 1 | 06:00:01]	LIGHT_SENS - 		4
[DAY: 1 | 07:01:04]	LIGHT_SENS - 		6
[DAY: 1 | 07:06:08]	WINDOW - 		OPENED
[DAY: 1 | 07:06:17]	NOISE_SENS - 		17
[DAY: 1 | 07:10:52]	NOISE_SENS - 		18
[DAY: 1 | 07:10:52]	MOVEMENT_SENS - 		ON
[DAY: 1 | 07:14:20]	NOISE_SENS - 		83
[DAY: 1 | 07:14:20]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 07:18:09]	NOISE_SENS - 		82
[DAY: 1 | 07:18:09]	MOVEMENT_SENS - 		ON
[DAY: 1 | 07:22:32]	NOISE_SENS - 		63
[DAY: 1 | 07:27:00]	NOISE_SENS - 		2
[DAY: 1 | 07:30:21]	NOISE_SENS - 		56
[DAY: 1 | 07:34:40]	NOISE_SENS - 		87
[DAY: 1 | 07:38:04]	NOISE_SENS - 		3
[DAY: 1 | 07:42:20]	NOISE_SENS - 		12
[DAY: 1 | 07:42:20]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 07:46:39]	NOISE_SENS - 		25
[DAY: 1 | 07:46:39]	MOVEMENT_SENS - 		ON
[DAY: 1 | 07:50:49]	NOISE_SENS - 		2
[DAY: 1 | 07:54:13]	NOISE_SENS - 		69
[DAY: 1 | 07:58:55]	WINDOW - 		CLOSED
[DAY: 1 | 07:58:55]	HEATER - 		ON 	[TEMP: 12,66317]
[DAY: 1 | 07:59:00]	NOISE_SENS - 		70
[DAY: 1 | 08:01:05]	LIGHT_SENS - 		8
[DAY: 1 | 08:02:21]	NOISE_SENS - 		30
[DAY: 1 | 08:02:21]	MOVEMENT_SENS - 		OFF
[DAY: 1 | 08:06:12]	NOISE_SENS - 		2
[DAY: 1 | 08:06:12]	MOVEMENT_SENS - 		ON
[DAY: 1 | 08:10:51]	NOISE_SENS - 		34
[DAY: 1 | 08:10:51]	MOVEMENT_SENS - 		OFF
